1
31241 
19.975  1  20  0  0  1  20  1  
5.05  0.8  9.775  0.65  7.8  0.7  12.55  0.575  
17.675  0.675  4.825  0.5  14.175  0.825  3.225  0.725  
8.625  0.725  7.825  0.25  7.975  1  2.825  0.475  
9  0.4  5.725  0.825  8.975  0.55  8.075  0.725  
0.875  0.5  9.825  0.075  18.175  0.8  3.675  0.775  
15.6  0.15  10.8  0.1  1.25  0.5  9.45  0.15  
2.175  0.2  5.55  0.575  16.5  0.75  8.375  0.2  
14.85  0.525  12.5  0.5  0.325  0.925  9.425  0.475  
19.95  1  9.975  0.85  19.65  0.925  18.65  0.45  
19.925  1  19.175  0.275  8.425  0.175  19.9  1  
10.675  0.925  4.35  0.575  6.85  0.875  16.975  0.325  
12.775  0.575  8.65  0.275  15.5  0.2  7.7  0.3  
16.8  0.025  4.725  0.45  3.075  0.55  19.425  0.125  
3.925  0.975  16.75  0.625  15.3  0.125  7.725  0.15  
14.575  0.225  15.7  0.05  18.1  0.7  18.975  0.8  
17.4  0.05  6  0.45  16.925  0.25  3.325  0.775  
15.975  0.175  9.775  0.675  2.325  0.175  8.9  0.125  
2.825  0.7  0.7  0.65  19.875  1  12.175  0.85  
7.2  0.825  2.55  0.275  15.425  0.45  17.35  0.375  
11.4  0.55  11  0.375  10.75  0.275  18.825  0.2  
7.25  0.4  7.375  0.95  1.175  0.675  7.2  0.9  
0.75  0.975  6.65  0.45  10.575  0.15  16.15  0.45  
5.375  0.65  16.75  0.05  9.05  0.65  17  0.05  
6.15  0.375  5.4  0.325  0.5  0.6  18.725  0  
19.95  0.725  4.25  0.1  11.3  0.35  8.275  0.05  
10.725  0.975  11.625  0.9  7.3  0.5  5.8  0.225  
4.3  0.075  8.625  0.625  18.775  0.15  2.35  0.65  
4.6  0.775  14.825  0.125  17.375  0.375  4.575  0.425  
11.35  1  15.825  0.8  19.175  0.675  8.4  0.3  
3.2  0.35  9.6  1  16.75  0.1  19.9  0.9  
13.325  0.35  9.825  0.825  18.15  0.6  12.925  0.375  
17.9  0.45  18.1  0.35  17.825  0.825  4.55  0.45  
18.125  0.025  6.725  0.45  11.225  0.45  11.4  0.6  
17.975  0.025  13.1  0.325  13.85  0.55  19.225  0.875  
19.85  1  3.575  0.5  2.825  0.8  9.85  0.275  
4.275  0.775  10.475  0.075  13.925  0.075  4.55  0.8  
9.6  0.025  11.4  0.4  19.825  1  2.825  0.25  
5.65  0.5  12.8  0.35  10.1  0.9  10.075  0.35  
2.625  0.575  1.175  0.9  3.775  0.775  3.425  0.65  
17.2  0.925  15  0.425  7.775  0.875  7.725  0.175  
11.825  0.625  18.55  0.3  1.675  0.9  19.8  1  
18.025  0.65  13.725  0.9  10.375  0.1  16.9  0.225  
4.7  0.525  19.775  1  3.3  0.875  14.55  0.5  
